Nontarget,Fb2_1132,Fb2_1211,Fb2_1221,Fb2_1312,Fb2_1322,Fb2_1332
Fb4_1233,0.74,0.74,0.74,0.74,0.74,0.74
Fb4_1311,0.74,0.74,0.73,0.73,0.73,0.73
Fb4_1312,0.73,0.73,0.73,0.73,0.73,0.73
Fb4_1313,0.73,0.73,0.73,0.73,0.72,0.73
Fb4_1321,0.73,0.73,0.73,0.73,0.72,0.72
Fb4_1322,0.73,0.73,0.72,0.73,0.72,0.72
Fb4_1323,0.72,0.72,0.72,0.72,0.72,0.72
Fb4_1331,0.74,0.74,0.73,0.73,0.73,0.73
Fb4_1332,0.73,0.74,0.73,0.73,0.73,0.73
Fb4_1333,0.73,0.73,0.72,0.73,0.73,0.73
Fb4_2111,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2112,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2113,0.74,0.74,0.74,0.74,0.73,0.74
Fb4_2121,0.74,0.74,0.74,0.73,0.73,0.73
Fb4_2122,0.73,0.74,0.74,0.73,0.73,0.73
Fb4_2123,0.73,0.73,0.73,0.73,0.73,0.73
Fb4_2131,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2132,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2133,0.74,0.74,0.74,0.74,0.73,0.74
Fb4_2211,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2212,0.74,0.74,0.74,0.74,0.74,0.74
Fb4_2213,0.74,0.74,0.74,0.74,0.73,0.73
Fb4_2221,0.73,0.74,0.74,0.73,0.73,0.73
Fb4_2222,0.73,0.74,0.73,0.73,0.73,0.73
Fb4_2223,0.73,0.73,0.73,0.73,0.73,0.73
Fb4_2231,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2232,0.74,0.75,0.74,0.74,0.74,0.74
Fb4_2233,0.74,0.74,0.73,0.74,0.73,0.73
Fb4_2311,0.73,0.73,0.73,0.73,0.72,0.72
Fb4_2312,0.73,0.73,0.73,0.72,0.72,0.72
Fb4_2313,0.72,0.73,0.72,0.72,0.72,0.72
Fb4_2321,0.72,0.72,0.72,0.72,0.72,0.72
Fb4_2322,0.72,0.72,0.72,0.72,0.71,0.72
Fb4_2323,0.72,0.72,0.71,0.72,0.71,0.71
Fb4_2331,0.73,0.73,0.73,0.73,0.72,0.72
Fb4_2332,0.73,0.73,0.73,0.73,0.72,0.72
Fb4_2333,0.72,0.72,0.72,0.72,0.72,0.72
Fb4_3111,0.75,0.74,0.74,0.74,0.74,0.74
Fb4_3112,0.74,0.74,0.74,0.74,0.73,0.74
Fb4_3113,0.74,0.74,0.74,0.73,0.73,0.74
Fb4_3121,0.74,0.74,0.74,0.73,0.73,0.73
Fb4_3122,0.74,0.74,0.73,0.73,0.73,0.73
Fb4_3123,0.74,0.73,0.73,0.73,0.73,0.73
Fb4_3131,0.75,0.74,0.74,0.74,0.74,0.74
Fb4_3132,0.75,0.74,0.74,0.74,0.74,0.74
Fb4_3133,0.74,0.74,0.73,0.74,0.73,0.74
Fb4_3211,0.74,0.74,0.74,0.74,0.74,0.74
Fb4_3212,0.74,0.74,0.74,0.74,0.73,0.74
Fb4_3213,0.74,0.74,0.74,0.73,0.73,0.73
Fb4_3221,0.74,0.74,0.73,0.73,0.73,0.73
Fb4_3222,0.74,0.74,0.73,0.73,0.73,0.73
Fb4_3223,0.73,0.73,0.73,0.73,0.72,0.73
Fb4_3231,0.74,0.74,0.74,0.74,0.74,0.74
Fb4_3232,0.74,0.74,0.74,0.74,0.73,0.74
Fb4_3233,0.74,0.74,0.73,0.74,0.73,0.73
Fb4_3311,0.73,0.73,0.72,0.72,0.72,0.72
Fb4_3312,0.73,0.73,0.72,0.72,0.72,0.72
Fb4_3313,0.73,0.72,0.72,0.72,0.72,0.72
Fb4_3321,0.72,0.72,0.72,0.72,0.71,0.72
Fb4_3322,0.72,0.72,0.72,0.72,0.71,0.72
Fb4_3323,0.72,0.71,0.71,0.71,0.71,0.71
Fb4_3331,0.73,0.73,0.72,0.72,0.72,0.72
Fb4_3332,0.73,0.73,0.72,0.72,0.72,0.72
Fb4_3333,0.73,0.72,0.72,0.72,0.72,0.72
